sentence_code,target_segment,lexical_item,phonological_context,stress,aspa_frequency,port_sentence,eng_translation,observation,stimulus,trial
42,word-final coda: monosyllabic verb,ir,Vc##,1,38938,Estou perdido. Não sei para onde eu devo ir.,I'm lost. I don't know where to go.,NA,Estou perdido. Não sei para onde eu devo __.,1
01,strong r,rádio,#RV,1,20020,Eu ouço rádio para saber as últimas notícias.,I listen to the radio to hear the latest news.,NA,Eu ouço _____ para saber as últimas notícias.,2
13,word-medial coda,barco,Vc$,1,6195,Um passeio de barco é uma boa forma de relaxar.,A boat trip is a good way to relax.,NA,Um passeio de _____ é uma boa forma de relaxar.,3
51,word-final coda: two-syllable verb,sair,Vc##,1,30091,Estou perdido no labirinto e não consigo sair.,I'm lost in the labyrinth and can't find my way out.,NA,Estou perdido no labirinto e não consigo ____.,4
22,word-final coda: polysyllabic noun,mulher,Vc#V,1,70112,A mulher é mais alta que o homem.,The woman is taller than the man.,"Stressed -ar, -ir, -ur nouns not present in the ASPA corpus or semantically unsuitable for sentence completion task",A ______ é mais alta que o homem.,5
46,word-final coda: two-syllable verb,fazer,Vc#C,1,165380,A Luísa quer fazer cócegas nos pés do Pedro.,Luísa wants to tickle Pedro's feet.,NA,A Luísa quer _____ cócegas nos pés do Pedro.,6
56,misc,besouro,VrV or VRV,0,208,O besouro é um inseto que tem uma casca dura.,The beetle is an insect that has a hard shell.,NA,O _______ é um inseto que tem uma casca dura.,7
53,misc,qualquer,Vc#V,1,87041,A Maria pode comprar o carro que quiser. Ela pode comprar qualquer um.,Maria can buy any car she wants. She can buy any car.,NA,A Maria pode comprar o carro que quiser. Ela pode comprar ________ um.,8
32,word-final code: melhor and maior,maior,Vc#C,1,175984,O elefante é maior que o rato.,The elephant is bigger than the mouse.,NA,O elefante é _____ que o rato.,9
35,word-final coda: monosyllabic verb,dar,Vc#V,1,69635,Eu vou dar um presente para minha amiga.,I'm going to give my friend a present.,NA,Eu vou ___ um presente para minha amiga.,10
10,weak r,trabalho,#CrV,0,129023,A criatividade é uma vantagem do trabalho em equipe.,Creativity is an advantage of team work.,NA,A criatividade é uma vantagem do ________ em equipe.,11
34,word-final coda: monosyllabic verb,dar,Vc#C,1,69635,Não vai dar tempo de eu chegar na hora.,There is not enough time for me to get there on time.,NA,Não vai ___ tempo de eu chegar na hora.,12
15,word-final coda: monosyllabic noun,mar,Vc#C,1,21625,Para um navegador inexperiente o mar pode ser perigoso.,"For an inexperienced sailor, the sea can be dangerous.","Monosyllabic nouns ending in -er, -ir, -ur not present in the ASPA corpus or semantically unsuitable for sentence completion task",Para um navegador inexperiente o ___ pode ser perigoso.,13
45,word-final coda: two-syllable verb,falar,Vc##,1,39119,Estou com dor de garganta e não consigo falar.,I have a sore throat and I can't speak.,NA,Estou com dor de garganta e não consigo _____.,14
48,word-final coda: two-syllable verb,fazer,Vc##,1,165380,Tenho que encontrar uma solução. Não sei o que devo fazer.,I have to find a solution. I don't know what I should do.,NA,Tenho que encontrar uma solução. Não sei o que devo _____.,15
54,misc,por,Vc#C,1,1273087,Não posso sair de casa por causa da gripe.,I can't leave the house because of the flu.,NA,Não posso sair de casa ___ causa da gripe.,16
43,word-final coda: two-syllable verb,falar,Vc#C,1,39119,Na biblioteca é preciso falar baixo.,In the library you need to talk quietly.,NA,Na biblioteca é preciso _____ baixo.,17
38,word-final coda: monosyllabic verb,ser,Vc#V,1,514408,Eu quero ser um bom amigo para você.,I want to be a good friend to you.,NA,Eu quero ___ um bom amigo para você.,18
